"","Day","Date","flow","Discharge","Discharge_log"
"286",286,"10-13",5000,141.5,2.1508
"287",287,"10-14",5000,141.5,2.1508
"288",288,"10-15",5000,141.5,2.1508
"289",289,"10-16",5000,141.5,2.1508
"290",290,"10-17",5000,141.5,2.1508
"291",291,"10-18",5000,141.5,2.1508
"292",292,"10-19",5000,141.5,2.1508
"293",293,"10-20",5000,141.5,2.1508
"294",294,"10-21",5000,141.5,2.1508
"295",295,"10-22",5000,141.5,2.1508
"296",296,"10-23",5000,141.5,2.1508
"297",297,"10-24",5000,141.5,2.1508
"298",298,"10-25",5000,141.5,2.1508
"299",299,"10-26",5000,141.5,2.1508
"300",300,"10-27",5000,141.5,2.1508
"301",301,"10-28",5000,141.5,2.1508
"302",302,"10-29",5000,141.5,2.1508
"303",303,"10-30",5000,141.5,2.1508
"304",304,"10-31",5000,141.5,2.1508
"305",305,"11-01",5000,141.5,2.1508
"306",306,"11-02",5000,141.5,2.1508
"307",307,"11-03",5000,141.5,2.1508
"308",308,"11-04",5000,141.5,2.1508
"309",309,"11-05",5000,141.5,2.1508
"310",310,"11-06",5000,141.5,2.1508
"311",311,"11-07",5000,141.5,2.1508
"312",312,"11-08",5000,141.5,2.1508
"313",313,"11-09",5000,141.5,2.1508
"314",314,"11-10",5000,141.5,2.1508
"315",315,"11-11",5000,141.5,2.1508
"316",316,"11-12",5000,141.5,2.1508
"317",317,"11-13",3500,99.05,1.9959
"318",318,"11-14",3500,99.05,1.9959
"319",319,"11-15",3500,99.05,1.9959
"320",320,"11-16",3500,99.05,1.9959
"321",321,"11-17",3500,99.05,1.9959
"322",322,"11-18",3500,99.05,1.9959
"323",323,"11-19",3500,99.05,1.9959
"324",324,"11-20",3500,99.05,1.9959
"325",325,"11-21",3500,99.05,1.9959
"326",326,"11-22",3500,99.05,1.9959
"327",327,"11-23",3500,99.05,1.9959
"328",328,"11-24",3500,99.05,1.9959
"329",329,"11-25",3500,99.05,1.9959
"330",330,"11-26",3500,99.05,1.9959
"331",331,"11-27",3500,99.05,1.9959
"332",332,"11-28",3500,99.05,1.9959
"333",333,"11-29",3500,99.05,1.9959
"334",334,"11-30",3500,99.05,1.9959
"335",335,"12-01",3500,99.05,1.9959
"336",336,"12-02",3500,99.05,1.9959
"337",337,"12-03",3500,99.05,1.9959
"338",338,"12-04",3500,99.05,1.9959
"339",339,"12-05",3500,99.05,1.9959
"340",340,"12-06",3500,99.05,1.9959
"341",341,"12-07",3500,99.05,1.9959
"342",342,"12-08",3500,99.05,1.9959
"343",343,"12-09",3500,99.05,1.9959
"344",344,"12-10",3500,99.05,1.9959
"345",345,"12-11",3500,99.05,1.9959
"346",346,"12-12",3500,99.05,1.9959
"347",347,"12-13",3500,99.05,1.9959
"348",348,"12-14",3500,99.05,1.9959
"349",349,"12-15",3500,99.05,1.9959
"350",350,"12-16",3500,99.05,1.9959
"351",351,"12-17",3500,99.05,1.9959
"352",352,"12-18",3500,99.05,1.9959
"353",353,"12-19",3500,99.05,1.9959
"354",354,"12-20",3500,99.05,1.9959
"355",355,"12-21",3500,99.05,1.9959
"356",356,"12-22",3500,99.05,1.9959
"357",357,"12-23",3500,99.05,1.9959
"358",358,"12-24",3500,99.05,1.9959
"359",359,"12-25",3500,99.05,1.9959
"360",360,"12-26",3500,99.05,1.9959
"361",361,"12-27",3500,99.05,1.9959
"362",362,"12-28",3500,99.05,1.9959
"363",363,"12-29",3500,99.05,1.9959
"364",364,"12-30",3500,99.05,1.9959
"365",365,"12-31",3500,99.05,1.9959
