YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2008 11 11 17 00     1.0 99.00 999.00 99.00 999.0  9.30   2.20     2 99.00 99.00
2008 11 11 18 00     1.0 99.00 999.00 99.00 999.0  9.30   2.10     2 99.00 99.00
2008 11 11 19 00     1.0 99.00 999.00 99.00 999.0  9.30   2.30     2 99.00 99.00
2008 11 11 20 00     1.0 99.00 999.00 99.00 999.0  9.40   2.50     2 99.00 99.00
2008 11 11 21 00     1.0 99.00 999.00 99.00 999.0  9.30   2.20     2 99.00 99.00
2008 11 11 22 00     1.0 99.00 999.00 99.00 999.0  9.30   2.10     2 99.00 99.00
2008 11 11 23 00     1.0 99.00 999.00 99.00 999.0  9.20   1.80     2 99.00 99.00
2008 11 12 00 00     1.0 99.00 999.00 99.00 999.0  9.20   1.60     2 99.00 99.00
2008 11 12 01 00     1.0 99.00 999.00 99.00 999.0  9.30   1.50     2 99.00 99.00
2008 11 12 02 00     1.0 99.00 999.00 99.00 999.0  9.40   2.60     2 99.00 99.00
2008 11 12 03 00     1.0 99.00 999.00 99.00 999.0  9.50   2.70     2 99.00 99.00
2008 11 12 04 00     1.0 99.00 999.00 99.00 999.0  9.80   2.60     2 99.00 99.00
2008 11 12 05 00     1.0 99.00 999.00 99.00 999.0  9.90   2.70     2 99.00 99.00
2008 11 12 06 00     1.0 99.00 999.00 99.00 999.0  9.70   2.80     2 99.00 99.00
2008 11 12 07 00     1.0 99.00 999.00 99.00 999.0  9.50   2.70     2 99.00 99.00
2008 11 12 08 00     1.0 99.00 999.00 99.00 999.0  9.40   2.70     2 99.00 99.00
2008 11 12 09 00     1.0 99.00 999.00 99.00 999.0  9.40   2.80     2 99.00 99.00
2008 11 12 10 00     1.0 99.00 999.00 99.00 999.0  9.40   2.90     2 99.00 99.00
2008 11 12 11 00     1.0 99.00 999.00 99.00 999.0  9.30   2.30     2 99.00 99.00
2008 11 12 12 00     1.0 99.00 999.00 99.00 999.0  9.30   2.40     3 99.00 99.00
