YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 13 10 180  1.3  1.6 99.00 99.00 99.00 999 1010.8   5.7 999.0 999.0 99.0 99.00
2014 03 22 13 20 163  1.4  1.6 99.00 99.00 99.00 999 1010.7   5.7 999.0 999.0 99.0 99.00
2014 03 22 13 30 157  1.3  1.6 99.00 99.00 99.00 999 1010.8   5.9 999.0 999.0 99.0 99.00
2014 03 22 13 40 161  1.0  1.4 99.00 99.00 99.00 999 1010.7   5.9 999.0 999.0 99.0 99.00
2014 03 22 13 50 165  0.9  1.3 99.00 99.00 99.00 999 1010.7   6.0 999.0 999.0 99.0 99.00
2014 03 22 14 00 164  1.2  1.8 99.00 99.00 99.00 999 1010.8   6.2   5.6 999.0 99.0 99.00
2014 03 22 14 10 153  1.2  1.6 99.00 99.00 99.00 999 1010.8   6.3 999.0 999.0 99.0 99.00
2014 03 22 14 20 124  1.5  2.1 99.00 99.00 99.00 999 1010.8   6.2 999.0 999.0 99.0 99.00
2014 03 22 14 30 145  1.2  2.2 99.00 99.00 99.00 999 1010.8   6.3 999.0 999.0 99.0 99.00
2014 03 22 14 40 228  4.0  6.0 99.00 99.00 99.00 999 1010.8   7.6 999.0 999.0 99.0 99.00
2014 03 22 14 50 230  5.0  6.4 99.00 99.00 99.00 999 1010.7   8.5 999.0 999.0 99.0 99.00
2014 03 22 15 00 237  4.3  5.7 99.00 99.00 99.00 999 1010.7   8.7   5.5 999.0 99.0 99.00
2014 03 22 15 10 241  4.7  7.5 99.00 99.00 99.00 999 1010.6   9.1 999.0 999.0 99.0 99.00
2014 03 22 15 20 242  5.8  7.6 99.00 99.00 99.00 999 1010.7   9.6 999.0 999.0 99.0 99.00
2014 03 22 15 30 251  4.5  5.6 99.00 99.00 99.00 999 1010.7   9.7 999.0 999.0 99.0 99.00
2014 03 22 15 40 250  5.6  7.3 99.00 99.00 99.00 999 1010.8  10.2 999.0 999.0 99.0 99.00
2014 03 22 15 50 246  4.7  5.7 99.00 99.00 99.00 999 1010.8  10.2 999.0 999.0 99.0 99.00
2014 03 22 16 00 237  4.2  4.9 99.00 99.00 99.00 999 1010.8  10.3   5.5 999.0 99.0 99.00
2014 03 22 16 10 244  3.5  4.2 99.00 99.00 99.00 999 1010.9  10.3 999.0 999.0 99.0 99.00
2014 03 22 16 20 230  3.4  4.3 99.00 99.00 99.00 999 1010.7  10.4 999.0 999.0 99.0 99.00
2014 03 22 16 30 221  3.4  4.1 99.00 99.00 99.00 999 1010.7  10.0 999.0 999.0 99.0 99.00
2014 03 22 16 40 224  3.6  4.0 99.00 99.00 99.00 999 1010.7  10.2 999.0 999.0 99.0 99.00
2014 03 22 16 50 227  3.5  4.3 99.00 99.00 99.00 999 1010.7  10.7 999.0 999.0 99.0 99.00
2014 03 22 17 00 222  3.4  3.9 99.00 99.00 99.00 999 1010.6  10.9   5.6 999.0 99.0 99.00
2014 03 22 17 10 208  3.2  3.6 99.00 99.00 99.00 999 1010.5  10.7 999.0 999.0 99.0 99.00
2014 03 22 17 20 210  3.4  3.8 99.00 99.00 99.00 999 1010.4  10.7 999.0 999.0 99.0 99.00
2014 03 22 17 30 216  3.7  4.2 99.00 99.00 99.00 999 1010.4  10.8 999.0 999.0 99.0 99.00
